History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High
≡,AMZN - Amazon.com Inc.,15.95,Add 15.74%,5000000,$238.34,"$1,191,700,000",,$266.43,11.79%,$196.00,$287.20
≡,MU - Micron Technology Inc.,15.06,Reduce 41.44%,975000,$1154.29,"$1,125,433,000",,$932.86,-19.18%,$114.07,$1254.81
≡,TSM - Taiwan Semiconductor S.A.,10.55,Add 24.29%,1650000,$477.57,"$787,991,000",,$417.52,-12.57%,$223.20,$479.00
≡,GOOG - Alphabet Inc. CL C,8.75,Add 6.77%,1850000,$353.33,"$653,661,000",,$342.88,-2.96%,$206.37,$404.23
≡,UBER - Uber Technologies Inc.,7.43,Add 21.50%,7694071,$72.16,"$555,204,000",,$78.82,9.23%,$65.41,$101.99
≡,EWY - iShares MSCI South Korea ETF,6.55,Add 1.04%,2425000,$201.90,"$489,608,000",,$180.20,-10.75%,$69.82,$220.89
≡,META - Meta Platforms Inc.,5.09,Add 54.64%,675000,$563.29,"$380,221,000",,$578.02,2.61%,$519.78,$788.22
≡,VST - Vistra Corp.,4.7,Add 9.54%,2215272,$158.63,"$351,409,000",,$137.09,-13.58%,$132.47,$218.91
≡,NVDA - NVIDIA Corp.,4.08,Add 3.64%,1525000,$200.09,"$305,137,000",,$217.55,8.73%,$163.85,$236.26
≡,NRG - NRG Energy Inc.,3.44,Add 1.47%,1760000,$146.06,"$257,066,000",,$111.12,-23.92%,$110.65,$188.71
≡,BABA - Alibaba Group Holdings,2.57,Reduce 42.28%,2000000,$95.98,"$191,960,000",,$118.90,23.88%,$91.99,$190.92
≡,BA - Boeing Co.,2.32,Buy,800000,$216.47,"$173,176,000",,$209.82,-3.07%,$176.77,$254.35
≡,LRCX - Lam Research,2.22,,382500,$433.33,"$165,749,000",,$301.90,-30.33%,$93.59,$438.50
≡,BIDU - Baidu Inc.,1.98,Add 87.11%,1295000,$114.29,"$148,006,000",,$97.12,-15.02%,$89.60,$165.30
≡,AAL - American Airlines Group Inc.,1.81,Buy,7500000,$18.07,"$135,525,000",,$13.64,-24.52%,$10.09,$18.79
≡,AMD - Advanced Micro Devices,1.54,Reduce 10.79%,197500,$580.91,"$114,730,000",,$465.58,-19.85%,$149.22,$584.73
≡,CRWV - Coreweave Inc Cl A,1.44,Buy,1078248,$99.54,"$107,329,000",,$84.23,-15.38%,$60.55,$153.20
≡,ASML - ASML Holding NV,1.33,Add 1.01%,50000,$1989.44,"$99,472,000",,$1696.16,-14.74%,$711.50,$1997.36
≡,AVGO - Broadcom Inc.,0.76,Buy,150000,$377.75,"$56,663,000",,$368.79,-2.37%,$285.08,$494.22
≡,QCOM - QUALCOMM Inc.,0.62,Reduce 49.86%,250000,$184.79,"$46,198,000",,$164.19,-11.15%,$121.54,$258.96
≡,SPCX - Space Exploration Technologies Corp.,0.51,Buy,225000,$170.86,"$38,444,000",,$141.50,-17.18%,$104.83,$225.64
≡,ET - Energy Transfer LP,0.4,,1576125,$19.12,"$30,136,000",,$21.31,11.45%,$15.10,$21.64
≡,MPLX - MPLX LP,0.38,,502460,$56.33,"$28,304,000",,$59.25,5.18%,$44.22,$60.16
≡,WHR - Whirlpool Corp.,0.38,Reduce 63.33%,715000,$39.42,"$28,185,000",,$41.15,4.39%,$35.45,$94.09
≡,GT - Goodyear Tire & Rubber,0.13,Buy,1508591,$6.60,"$9,957,000",,$6.35,-3.79%,$5.43,$10.62
