History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High
≡,GRBK - Green Brick Partners,19.39,,9467383,$80.04,"$757,769,000",,$67.52,-15.64%,$60.44,$83.18
≡,FLR - Fluor Corp.,6.24,Reduce 1.87%,4658750,$52.39,"$244,072,000",,$53.57,2.25%,$39.33,$58.35
≡,CNR - Core Natural Resources Inc.,4.67,Add 22.88%,2283200,$80.02,"$182,701,000",,$97.81,22.23%,$71.50,$114.56
≡,BHF - Brighthouse Financial Inc.,4.6,,2842100,$63.30,"$179,905,000",,$51.56,-18.55%,$44.51,$66.80
≡,ACHC - Acadia Healthcare Co.,3.32,Reduce 2.61%,4400641,$29.53,"$129,951,000",,$28.48,-3.56%,$11.43,$35.83
≡,PENN - Penn National Gaming Inc.,3.2,Reduce 3.05%,5860270,$21.36,"$125,175,000",,$16.88,-20.97%,$11.65,$22.36
≡,FBIN - Fortune Brands Innovations Inc.,3.15,Buy,2241875,$54.90,"$123,079,000",,$39.45,-28.14%,$31.92,$63.70
≡,PCG - PG&E Corp.,2.85,,6632852,$16.82,"$111,565,000",,$14.24,-15.34%,$12.59,$19.04
≡,CNC - Centene Corp.,2.71,Reduce 39.56%,1651150,$64.19,"$105,987,000",,$65.92,2.70%,$29.98,$69.36
≡,GPK - Graphic Packaging Hldg Co.,2.69,Add 9.38%,9953430,$10.57,"$105,208,000",,$9.45,-10.60%,$8.69,$20.53
≡,SNX - SYNNEX Corp.,2.61,Reduce 20.54%,381042,$267.34,"$101,868,000",,$258.68,-3.24%,$141.15,$295.89
≡,TEVA - Teva Pharmaceutical Industries Ltd.,2.5,Reduce 0.85%,2886059,$33.88,"$97,780,000",,$36.19,6.82%,$18.21,$38.37
≡,VGNT - Versigent Plc,2.45,Buy,2277640,$42.01,"$95,683,000",,$46.76,11.31%,$26.27,$50.75
≡,CPRI - Capri Holdings Ltd,2.29,Reduce 2.24%,4820118,$18.57,"$89,509,000",,$12.86,-30.75%,$12.57,$28.27
≡,BKV - Bkv Corporation,2.17,Add 14.83%,3095173,$27.36,"$84,684,000",,$24.55,-10.27%,$20.08,$32.81
≡,DHT - DHT Holdings Inc.,2.13,Reduce 4.52%,5034320,$16.53,"$83,218,000",,$21.33,29.04%,$9.43,$21.36
≡,CROX - Crocs Inc.,2.07,,669140,$120.64,"$80,725,000",,$109.73,-9.04%,$73.21,$141.28
≡,ROIV - Roivant Sciences Ltd,1.95,,2152669,$35.39,"$76,183,000",,$40.40,14.16%,$13.40,$42.50
≡,SHC - Sotera Health Co,1.88,Add 100.20%,4135515,$17.75,"$73,406,000",,$18.37,3.49%,$13.09,$19.85
≡,PRMB - Primo Brands Corp,1.77,Buy,2823660,$24.44,"$69,010,000",,$20.67,-15.43%,$14.04,$26.08
≡,VSNT - Versant Media Group Inc.,1.77,Reduce 36.53%,1922172,$36.01,"$69,218,000",,$37.49,4.11%,$26.61,$45.11
≡,DCH - Dauch Corp.,1.72,Add 96.39%,12395104,$5.42,"$67,182,000",,$6.57,21.22%,$4.92,$9.25
≡,PYPL - PayPal Holdings Inc.,1.57,Buy,1424320,$43.18,"$61,502,000",,$53.28,23.39%,$38.12,$78.34
≡,HSIC - Henry Schein Inc.,1.54,Add 19.90%,718550,$83.52,"$60,013,000",,$87.61,4.90%,$61.95,$92.18
≡,WBD - Warner Bros. Discovery Inc.,1.53,Buy,2246180,$26.66,"$59,883,000",,$28.14,5.55%,$12.00,$30.00
≡,LBTYA - Liberty Global Ltd CL A,1.44,,4963322,$11.37,"$56,433,000",,$10.64,-6.42%,$9.43,$13.52
≡,AR - Antero Resources,1.42,Add 94.69%,1574140,$35.14,"$55,315,000",,$39.43,12.21%,$29.10,$45.75
≡,STUB - Stubhub Holdings Inc Class A,1.39,,4233200,$12.87,"$54,481,000",,$5.91,-54.08%,$5.74,$27.89
≡,REZI - Resideo Technologies Inc.,1.35,Add 7.91%,1699590,$31.10,"$52,858,000",,$19.11,-38.55%,$18.75,$32.01
≡,DECK - Deckers Outdoor,1.29,Add 5.19%,506398,$99.29,"$50,280,000",,$79.69,-19.74%,$78.91,$122.29
≡,SPB - Spectrum Brands Holdings Inc.,1.23,Reduce 13.67%,561438,$85.75,"$48,143,000",,$86.16,0.48%,$48.72,$98.53
≡,CNH - CNH Industrial NV,1.2,,4188940,$11.23,"$47,042,000",,$13.45,19.77%,$8.91,$14.46
≡,VTRS - Viatris Inc.,1.13,Add 52.59%,2773470,$15.88,"$44,043,000",,$16.34,2.90%,$9.10,$18.25
≡,PSKY - Paramount Skydance Corp.,0.99,,3926080,$9.86,"$38,711,000",,$10.40,5.48%,$7.62,$20.57
≡,PVH - PVH Corp.,0.99,Buy,520800,$74.26,"$38,675,000",,$68.14,-8.24%,$59.55,$100.69
≡,CMCSA - Comcast Corp.,0.85,Buy,1345780,$24.55,"$33,039,000",,$25.05,2.04%,$21.28,$32.04
≡,SLDE - Slide Insurance Holdings Inc,0.84,,1686630,$19.37,"$32,670,000",,$24.56,26.79%,$12.49,$25.09
≡,TRIP - TripAdvisor Inc.,0.83,Add 50.95%,2361973,$13.71,"$32,383,000",,$8.75,-36.18%,$8.60,$20.16
≡,GLD - SPDR Gold Trust,0.79,Reduce 16.25%,83421,$368.38,"$30,731,000",,$400.08,8.61%,$326.19,$509.70
≡,CI - Cigna Group,0.62,,88400,$275.69,"$24,371,000",,$279.92,1.53%,$234.20,$308.48
≡,LKFT - Lakefront Biotherapeutics,0.37,,482746,$29.98,"$14,472,000",,$26.96,-10.07%,$25.68,$37.78
≡,COYA - Coya Therapeutics Inc,0.35,,2335540,$5.85,"$13,663,000",,$4.53,-22.56%,$3.71,$7.75
≡,IMVT - Immunovant Inc.,0.09,,93520,$38.53,"$3,603,000",,$37.71,-2.13%,$14.58,$45.42
≡,GANX - Gain Therapeutics Inc.,0.03,,566130,$2.03,"$1,149,000",,$1.72,-15.27%,$1.53,$4.34
≡,GPRO - GoPro Inc.,0.03,,1693860,$0.78,"$1,318,000",,$1.48,89.74%,$0.57,$3.05
≡,NUVB - Nuvation Bio Inc.,0.01,,34995,$5.69,"$199,000",,$6.25,9.84%,$2.99,$9.75
